업종,대졸이상%,여성%,취업상태%,준비개월
농업 임업 및 어업,37.6,36.4,85.7,10.1
광업,54.0,7.5,72.7,9.4
제조업,47.4,25.8,85.7,10.8
전기 가스 증기 및 공기조절 공급업,44.4,40.1,68.3,17.8
수도 하수 및 폐기물 처리 원료 재생업,59.9,14.5,80.5,14.0
건설업,56.6,20.3,88.8,8.9
도매 및 소매업,52.0,35.1,86.0,10.2
운수 및 창고업,56.1,24.4,79.8,9.7
숙박 및 음식점업,36.1,60.6,81.4,11.4
정보통신업,71.6,31.6,85.9,10.4
금융 및 보험업,51.6,30.5,83.4,11.1
부동산업,54.6,55.9,66.4,14.0
전문 과학 및 기술 서비스업,78.6,30.3,89.0,8.7
사업시설 관리 사업 지원 및 임대 서비스업,58.8,36.3,80.0,9.1
교육 서비스업,74.2,60.8,81.4,9.6
보건업 및 사회복지 서비스업,63.8,54.7,87.0,11.1
예술 스포츠 및 여가관련 서비스업,50.7,48.2,71.7,12.0
수리 및 기타 개인 서비스업,51.4,48.5,78.8,10.7
