구분별(1),구분별(2),기업수,1년,2년,3년,4년,5년,6년,7년
업종,농업 임업 및 어업,67066,14009,12391,10856,9594,8058,6377,5781
업종,광업,841,143,153,114,117,123,100,91
업종,제조업,248497,39171,36095,38932,38137,34274,32688,29200
업종,전기 가스 증기 및 공기조절 공급업,148881,29869,21933,20852,21744,20611,20511,13361
업종,수도 하수 및 폐기물 처리 원료 재생업,6090,931,1068,898,841,886,805,661
업종,건설업,324019,59185,55881,54197,45852,41261,36345,31298
업종,도매 및 소매업,1411866,362875,290021,227681,183150,140957,112204,94978
업종,운수 및 창고업,325639,61954,58302,52837,42887,40976,36234,32449
업종,숙박 및 음식점업,614195,158851,114157,90127,77182,70035,56438,47405
업종,정보통신업,158707,42335,30989,27574,20033,15683,12310,9783
업종,금융 및 보험업,35518,6430,7241,7783,4646,3777,3010,2631
업종,부동산업,610954,64542,76732,88663,101069,111501,97363,71084
업종,전문 과학 및 기술 서비스업,222119,48421,42677,38451,31066,24592,20154,16758
업종,사업시설 관리 사업 지원 및 임대 서비스업,132544,32594,23498,18972,19272,15082,12723,10403
업종,교육 서비스업,198848,42994,35409,30252,26442,25553,21616,16582
업종,보건업 및 사회복지 서비스업,32521,5593,5624,4917,4046,4393,4042,3906
업종,예술 스포츠 및 여가관련 서비스업,119127,26039,22618,18016,16108,14982,11371,9993
업종,수리 및 기타 개인 서비스업,245057,54901,43363,37054,31736,30423,25790,21790
기업형태,개인,4315648,958178,779301,665701,581864,526180,443708,360716
기업형태,법인,586841,92659,98851,102475,92058,76987,66373,57438
