구분별(1),구분별(2),남성,여성
업력,1년,69.4,30.6
업력,2년,62.2,37.8
업력,3년,69.4,30.6
업력,4년,59.4,40.6
업력,5년,73.2,26.8
업력,6년,71.5,28.5
업력,7년,64.7,35.3
업종,농업 임업 및 어업,63.6,36.4
업종,광업,92.5,7.5
업종,제조업,74.2,25.8
업종,전기 가스 증기 및 공기조절 공급업,59.9,40.1
업종,수도 하수 및 폐기물 처리 원료 재생업,85.5,14.5
업종,건설업,79.7,20.3
업종,도매 및 소매업,64.9,35.1
업종,운수 및 창고업,75.6,24.4
업종,숙박 및 음식점업,39.4,60.6
업종,정보통신업,68.4,31.6
업종,금융 및 보험업,69.5,30.5
업종,부동산업,44.1,55.9
업종,전문 과학 및 기술 서비스업,69.7,30.3
업종,사업시설 관리 사업 지원 및 임대 서비스업,63.7,36.3
업종,교육 서비스업,39.2,60.8
업종,보건업 및 사회복지 서비스업,45.3,54.7
업종,예술 스포츠 및 여가관련 서비스업,51.8,48.2
업종,수리 및 기타 개인 서비스업,51.5,48.5
기업형태,개인,64.8,35.2
기업형태,법인,70.8,29.2
창업자 연령,20대 이하,68.9,31.1
창업자 연령,30대,66.1,33.9
창업자 연령,40대,70.3,29.7
창업자 연령,50대,63.9,36.1
창업자 연령,60대 이상,66.2,33.8
