구분별(1),구분별(2),중졸이하,고졸,전문대졸,대졸,대학원졸(석사),대학원졸(박사)
업력,1년,4.5,28.5,10.1,53.1,1.4,2.4
업력,2년,3.3,27.3,15.8,47.6,4.6,1.4
업력,3년,1.2,29.9,17.0,48.9,2.0,1.0
업력,4년,2.6,25.6,13.8,51.9,5.0,1.1
업력,5년,1.0,27.1,16.7,49.5,4.9,0.9
업력,6년,4.0,34.2,12.2,43.0,5.5,1.2
업력,7년,3.5,21.6,23.2,46.3,4.5,0.8
업종,농업 임업 및 어업,5.6,52.3,4.6,32.4,5.1,0.1
업종,광업,1.0,37.3,7.6,54.0,0.0,0.0
업종,제조업,4.7,30.3,17.6,43.3,3.4,0.7
업종,전기 가스 증기 및 공기조절 공급업,0.3,30.5,24.7,37.6,2.9,3.9
업종,수도 하수 및 폐기물 처리 원료 재생업,0.3,23.2,16.5,57.1,0.8,2.0
업종,건설업,0.5,22.7,20.2,55.3,1.3,0.0
업종,도매 및 소매업,2.3,29.5,16.2,47.7,3.8,0.5
업종,운수 및 창고업,3.2,27.5,13.3,49.7,3.2,3.2
업종,숙박 및 음식점업,8.4,44.5,11.1,29.6,3.5,3.0
업종,정보통신업,0.5,16.3,11.7,66.6,3.3,1.7
업종,금융 및 보험업,1.9,25.9,20.6,48.8,1.0,1.8
업종,부동산업,0.2,33.2,11.9,51.0,3.4,0.2
업종,전문 과학 및 기술 서비스업,1.1,11.1,9.1,71.4,2.3,4.9
업종,사업시설 관리 사업 지원 및 임대 서비스업,3.7,24.8,12.7,51.7,7.1,0.0
업종,교육 서비스업,0.9,17.6,7.2,59.4,14.0,0.8
업종,보건업 및 사회복지 서비스업,0.1,25.0,11.0,43.2,18.1,2.5
업종,예술 스포츠 및 여가관련 서비스업,0.7,19.2,29.5,48.4,2.3,0.0
업종,수리 및 기타 개인 서비스업,1.1,29.7,17.8,43.5,7.9,0.0
기업형태,개인,2.7,29.9,16.1,46.0,4.2,1.1
기업형태,법인,3.2,22.9,14.2,54.3,3.8,1.6
창업자 성별,남성,2.2,27.8,15.4,49.6,3.5,1.5
창업자 성별,여성,4.1,27.3,15.7,46.9,5.3,0.7
창업자 연령,20대 이하,0.3,27.5,13.1,57.0,1.6,0.5
창업자 연령,30대,1.9,29.3,10.1,52.6,5.4,0.6
창업자 연령,40대,2.2,25.2,17.2,51.1,3.6,0.8
창업자 연령,50대,3.8,20.5,18.5,50.5,4.3,2.4
창업자 연령,60대 이상,3.3,41.6,12.8,37.9,3.6,0.7
