구분별(1),구분별(2),기업수,개인,법인
업력,1년,1050837,958178,92659
업력,2년,878152,779301,98851
업력,3년,768176,665701,102475
업력,4년,673922,581864,92058
업력,5년,603167,526180,76987
업력,6년,510081,443708,66373
업력,7년,418154,360716,57438
업종,농업 임업 및 어업,67066,54078,12988
업종,광업,841,415,426
업종,제조업,248497,173076,75421
업종,전기 가스 증기 및 공기조절 공급업,148881,140386,8495
업종,수도 하수 및 폐기물 처리 원료 재생업,6090,3580,2510
업종,건설업,324019,266717,57302
업종,도매 및 소매업,1411866,1268756,143110
업종,운수 및 창고업,325639,313421,12218
업종,숙박 및 음식점업,614195,600507,13688
업종,정보통신업,158707,113365,45342
업종,금융 및 보험업,35518,13759,21759
업종,부동산업,610954,535826,75128
업종,전문 과학 및 기술 서비스업,222119,152982,69137
업종,사업시설 관리 사업 지원 및 임대 서비스업,132544,106510,26034
업종,교육 서비스업,198848,188947,9901
업종,보건업 및 사회복지 서비스업,32521,31277,1244
업종,예술 스포츠 및 여가관련 서비스업,119127,111739,7388
업종,수리 및 기타 개인 서비스업,245057,240307,4750
