구분별(1),구분별(2),창업까지 소요기간 (개월)
업력,1년,9.6
업력,2년,10.7
업력,3년,10
업력,4년,11.3
업력,5년,11.3
업력,6년,11.1
업력,7년,11.1
업종,농업 임업 및 어업,10.1
업종,광업,9.4
업종,제조업,10.8
업종,전기 가스 증기 및 공기조절 공급업,17.8
업종,수도 하수 및 폐기물 처리 원료 재생업,14
업종,건설업,8.9
업종,도매 및 소매업,10.2
업종,운수 및 창고업,9.7
업종,숙박 및 음식점업,11.4
업종,정보통신업,10.4
업종,금융 및 보험업,11.1
업종,부동산업,14
업종,전문 과학 및 기술 서비스업,8.7
업종,사업시설 관리 사업 지원 및 임대 서비스업,9.1
업종,교육 서비스업,9.6
업종,보건업 및 사회복지 서비스업,11.1
업종,예술 스포츠 및 여가관련 서비스업,12
업종,수리 및 기타 개인 서비스업,10.7
기업형태,개인,10.9
기업형태,법인,10.5
창업자 성별,남성,11.2
창업자 성별,여성,9.9
창업자 연령,20대 이하,9.5
창업자 연령,30대,10.5
창업자 연령,40대,11.2
창업자 연령,50대,10.4
창업자 연령,60대 이상,11.1
