구분별(1),구분별(2),취업상태,미취업상태
업력,1년,78.5,21.5
업력,2년,81.8,18.2
업력,3년,84.9,15.1
업력,4년,86.7,13.3
업력,5년,79.5,20.5
업력,6년,84.4,15.6
업력,7년,85.1,14.9
업종,농업 임업 및 어업,85.7,14.3
업종,광업,72.7,27.3
업종,제조업,85.7,14.3
업종,전기 가스 증기 및 공기조절 공급업,68.3,31.7
업종,수도 하수 및 폐기물 처리 원료 재생업,80.5,19.5
업종,건설업,88.8,11.2
업종,도매 및 소매업,86.0,14.0
업종,운수 및 창고업,79.8,20.2
업종,숙박 및 음식점업,81.4,18.6
업종,정보통신업,85.9,14.1
업종,금융 및 보험업,83.4,16.6
업종,부동산업,66.4,33.6
업종,전문 과학 및 기술 서비스업,89.0,11.0
업종,사업시설 관리 사업 지원 및 임대 서비스업,80.0,20.0
업종,교육 서비스업,81.4,18.6
업종,보건업 및 사회복지 서비스업,87.0,13.0
업종,예술 스포츠 및 여가관련 서비스업,71.7,28.3
업종,수리 및 기타 개인 서비스업,78.8,21.2
기업형태,개인,82.5,17.5
기업형태,법인,84.5,15.5
창업자 성별,남성,83.7,16.3
창업자 성별,여성,82.0,18.0
창업자 연령,20대 이하,31.6,68.4
창업자 연령,30대,89.7,10.3
창업자 연령,40대,82.2,17.8
창업자 연령,50대,83.7,16.3
창업자 연령,60대 이상,84.5,15.5
